E0M31_00000123-RB	DB47_00001291-RC	81.04	385	39	4	1	367	163	531	0.0	584	84	84
E0M31_00000155-RA	DB47_00076545-RA	71.78	567	109	3	1	516	1	567	0.0	796	92	83
E0M31_00000169-RH	DB47_00005569-RB	65.94	320	53	6	2	303	330	611	3e-121	372	70	70
E0M31_00000247-RA	DB47_00068021-RA	89.02	173	19	0	14	186	24	196	5e-107	313	87	44
E0M31_00000258-RB	DB47_00004538-RA	98.43	318	5	0	1	318	1	318	0.0	656	73	73
E0M31_00000360-RC	DB47_00004417-RB	98.67	825	0	1	1	825	1	814	0.0	1689	100	100
E0M31_00000378-RA	DB47_00010047-RA	72.29	83	9	1	1	83	1	69	3e-36	117	100	100
E0M31_00000379-RB	DB47_00000600-RB	63.21	212	57	4	19	229	1	192	1e-80	243	73	73
E0M31_00000386-RA	DB47_00009684-RA	69.08	346	40	8	280	601	1	303	1e-135	400	49	49
E0M31_00000447-RB	DB47_00011633-RB	88.21	212	23	1	174	385	51	260	2e-131	378	55	55
E0M31_00000541-RA	DB47_00014923-RC	96.15	52	2	0	15	66	52	103	5e-32	107	79	79
E0M31_00000603-RA	DB47_00029636-RA	99.31	579	4	0	1	579	1	579	0.0	1203	100	100
E0M31_00000610-RC	DB47_00020974-RA	84.77	348	17	3	1	345	1	315	0.0	579	100	100
E0M31_00000641-RA	DB47_00000400-RC	70.29	313	76	3	1	299	18	327	1e-153	434	97	97
E0M31_00000650-RK	DB47_00015857-RA	72.34	329	69	5	1	325	59	369	1e-154	439	100	100
E0M31_00000689-RE	DB47_00017869-RA	74.00	623	72	7	42	576	9	629	0.0	867	93	93
E0M31_00000714-RB	DB47_00006855-RB	76.92	390	41	3	2	378	47	400	0.0	605	90	90
E0M31_00000785-RC	DB47_00011378-RC	82.14	224	23	2	49	259	1	220	6e-127	363	78	78
E0M31_00000789-RD	DB47_00026188-RA	94.01	217	13	0	41	257	181	397	8e-110	339	100	84
E0M31_00000799-RA	DB47_00057372-RA	98.51	134	2	0	56	189	10	143	3e-96	276	71	71
E0M31_00000833-RE	DB47_00001003-RA	100.00	44	0	0	245	288	206	249	5e-24	95.5	80	15
E0M31_00000836-RA	DB47_00001005-RA	99.40	168	1	0	3	170	19	186	7e-125	350	99	99
E0M31_00000838-RA	DB47_00001006-RA	99.63	273	1	0	1	273	110	382	0.0	560	97	97
E0M31_00000864-RA	DB47_00003446-RB	93.38	272	14	2	1	272	21	288	0.0	512	100	100
E0M31_00000912-RC	DB47_00016605-RA	83.81	105	17	0	71	175	1	105	1e-55	176	40	40
E0M31_00000968-RH	DB47_00008020-RI	65.05	206	34	3	232	400	22	226	9e-81	248	87	42
E0M31_00001101-RH	DB47_00040563-RA	68.52	108	33	1	70	176	47	154	4e-43	144	49	49
E0M31_00001104-RA	DB47_00006906-RA	100.00	96	0	0	1	96	1	96	1e-64	190	100	100
E0M31_00001105-RC	DB47_00006905-RF	100.00	102	0	0	116	217	197	298	5e-67	208	57	47
E0M31_00001107-RD	DB47_00006903-RB	88.82	340	4	1	1	340	8	313	0.0	591	100	100
E0M31_00001118-RA	DB47_00009725-RA	94.17	240	6	1	47	278	7	246	1e-165	460	83	83
E0M31_00001192-RA	DB47_00025653-RA	99.57	468	2	0	1	468	1	468	0.0	964	100	100
E0M31_00001194-RA	DB47_00033059-RA	99.16	237	2	0	1	237	1	237	3e-172	474	100	100
E0M31_00001287-RB	DB47_00022830-RC	65.21	457	32	7	1	423	1	364	0.0	531	100	100
E0M31_00001444-RA	DB47_00059337-RA	94.74	57	3	0	96	152	66	122	6e-34	115	38	38
E0M31_00001464-RA	DB47_00022837-RB	73.22	295	45	4	1	272	1	284	3e-145	409	100	100
E0M31_00001471-RI	DB47_00002992-RH	77.55	98	22	0	78	175	438	535	1e-40	154	57	13
E0M31_00001475-RG	DB47_00041132-RA	84.67	548	75	3	130	669	1	547	0.0	925	99	75
E0M31_00001478-RA	DB47_00052398-RA	77.97	118	21	1	5	117	62	179	2e-58	180	81	81
E0M31_00001482-RA	DB47_00013868-RB	95.58	249	11	0	1	249	1	249	9e-179	496	85	85
E0M31_00001508-RB	DB47_00027665-RB	94.17	617	28	3	8	622	3	613	0.0	1142	91	91
E0M31_00001544-RA	DB47_00005241-RB	84.83	211	5	1	1	211	19	202	4e-119	343	61	61
E0M31_00001561-RA	DB47_00003522-RA	99.00	502	5	0	1	502	1	502	0.0	1032	81	81
E0M31_00001607-RB	DB47_00013314-RA	81.54	260	4	2	68	327	17	232	3e-148	417	80	80
E0M31_00001641-RC	DB47_00006412-RG	72.61	387	52	7	1	335	1	385	0.0	526	92	92
E0M31_00001686-RD	DB47_00030115-RA	68.42	19	6	0	214	232	92	110	0.028	30.4	56	7
E0M31_00001696-RD	DB47_00018724-RA	75.93	54	13	0	1	54	354	407	1e-16	77.4	99	14
E0M31_00001811-RA	DB47_00065032-RA	98.49	332	5	0	3	334	8	339	0.0	677	97	97
E0M31_00001823-RA	DB47_00077559-RA	87.26	361	45	1	319	679	1	360	0.0	623	100	53
E0M31_00001835-RD	DB47_00021700-RD	93.53	278	13	1	80	352	8	285	0.0	530	64	64
E0M31_00001884-RA	DB47_00064633-RA	90.09	111	11	0	1	111	9	119	8e-72	210	92	92
E0M31_00002002-RA	DB47_00023693-RA	100.00	87	0	0	1	87	1	87	1e-62	184	100	100
E0M31_00002016-RA	DB47_00042088-RA	92.25	271	5	1	1	271	1	255	0.0	503	81	81
E0M31_00002024-RA	DB47_00004286-RA	100.00	260	0	0	1	260	1	260	0.0	531	100	100
E0M31_00002032-RA	DB47_00061548-RA	87.57	177	8	2	1	176	1	164	1e-104	298	100	100
E0M31_00002037-RA	DB47_00048602-RB	68.21	173	17	2	31	197	1	141	4e-74	221	81	81
E0M31_00002142-RA	DB47_00034972-RA	91.30	46	4	0	106	151	59	104	3e-23	88.2	21	21
E0M31_00002334-RA	DB47_00029786-RA	67.79	208	9	2	1	163	1	195	3e-85	249	100	100
E0M31_00002350-RD	DB47_00004581-RD	79.49	234	47	1	175	408	383	615	5e-119	375	85	28
E0M31_00002367-RA	DB47_00004401-RA	96.77	371	12	0	301	671	562	932	0.0	736	93	55
E0M31_00002398-RA	DB47_00011074-RA	94.92	256	7	1	1	256	1	250	4e-179	493	100	100
E0M31_00002446-RA	DB47_00050590-RB	91.96	112	9	0	33	144	11	122	2e-65	195	78	78
E0M31_00002449-RA	DB47_00062645-RA	96.34	82	3	0	4	85	1	82	3e-55	166	89	89
E0M31_00002476-RA	DB47_00010471-RA	56.25	288	67	3	1	288	1	229	3e-100	294	97	97
E0M31_00002488-RB	DB47_00003634-RE	81.15	366	28	3	1	366	1	325	0.0	578	100	100
E0M31_00002528-RA	DB47_00002542-RA	95.51	245	11	0	2	246	1	245	9e-169	466	99	99
E0M31_00002529-RA	DB47_00002543-RE	59.81	321	51	7	26	269	27	346	6e-109	320	83	83
E0M31_00002532-RA	DB47_00025947-RD	85.19	135	9	1	364	498	95	218	1e-75	240	37	23
E0M31_00002584-RA	DB47_00012843-RA	91.89	111	9	0	1	111	1	111	5e-73	213	100	100
E0M31_00002751-RB	DB47_00007680-RA	84.57	324	12	1	1	324	92	377	1e-175	493	100	100
E0M31_00002757-RD	DB47_00015826-RA	94.41	358	8	1	25	370	1	358	0.0	684	99	94
E0M31_00002771-RC	DB47_00004709-RB	43.20	125	28	3	1	125	1	82	2e-20	79.0	100	100
E0M31_00002816-RC	DB47_00051890-RA	97.97	295	2	2	1	293	1	293	0.0	600	92	92
E0M31_00002826-RE	DB47_00003949-RC	92.86	56	4	0	539	594	1204	1259	1e-24	107	100	5
E0M31_00002864-RA	DB47_00019642-RA	90.98	133	12	0	1	133	1	133	2e-85	249	61	61
E0M31_00002898-RC	DB47_00017709-RB	72.43	243	13	2	95	337	22	210	1e-111	324	72	72
E0M31_00002942-RA	DB47_00024974-RA	91.43	105	9	0	10	114	30	134	7e-65	193	92	92
E0M31_00002985-RA	DB47_00000166-RA	77.95	127	2	1	1	101	1	127	7e-67	197	100	100
E0M31_00002988-RC	DB47_00001188-RC	96.21	132	5	0	4	135	34	165	1e-93	275	63	46
E0M31_00002989-RA	DB47_00000167-RA	89.83	59	6	0	1	59	1	59	3e-35	114	66	66
E0M31_00003045-RA	DB47_00019542-RD	77.46	173	2	1	1	136	1	173	6e-90	259	100	100
E0M31_00003159-RA	DB47_00036644-RA	66.05	162	22	1	1	162	1	129	1e-65	196	100	100
E0M31_00003208-RA	DB47_00017242-RA	98.11	264	5	0	1	264	1	264	0.0	530	100	100
E0M31_00003210-RA	DB47_00023936-RC	80.18	333	23	5	1	308	1	315	0.0	514	97	97
E0M31_00003278-RA	DB47_00012316-RB	79.58	142	5	1	47	164	4	145	6e-73	216	72	72
E0M31_00003362-RA	DB47_00057535-RA	100.00	92	0	0	79	170	4	95	1e-60	183	54	54
E0M31_00003372-RA	DB47_00006454-RB	71.25	327	50	4	1	327	1	283	3e-152	434	75	75
E0M31_00003393-RA	DB47_00040450-RA	68.90	164	28	4	1	147	1	158	2e-65	197	99	99
E0M31_00003425-RA	DB47_00048062-RA	63.22	242	66	4	71	289	1	242	3e-81	245	76	76
E0M31_00003436-RA	DB47_00017730-RA	93.12	189	13	0	1	189	1	189	1e-125	355	99	99
E0M31_00003450-RA	DB47_00006969-RA	96.36	110	4	0	1	110	30	139	2e-75	221	84	84
E0M31_00003455-RF	DB47_00018293-RC	74.43	352	26	5	54	341	1	352	1e-175	493	99	77
E0M31_00003458-RB	DB47_00012280-RB	98.61	288	4	0	1	288	1	288	0.0	592	100	100
E0M31_00003471-RA	DB47_00014821-RB	92.31	91	1	1	32	116	34	124	1e-56	172	73	73
E0M31_00003492-RA	DB47_00027914-RA	70.24	289	52	4	1	284	1	260	5e-136	385	100	100
E0M31_00003509-RA	DB47_00029565-RA	79.21	279	34	2	1	255	1	279	1e-151	425	98	98
E0M31_00003566-RB	DB47_00014515-RB	100.00	129	0	0	1	129	1	129	2e-82	268	95	18
E0M31_00003607-RA	DB47_00019317-RA	99.16	711	6	0	1	711	1	711	0.0	1476	100	100
E0M31_00003661-RB	DB47_00059503-RA	92.96	142	10	0	7	148	1	142	3e-86	250	89	89
E0M31_00003699-RA	DB47_00033747-RC	55.34	206	42	3	39	195	19	223	2e-62	193	81	81
E0M31_00003716-RB	DB47_00003835-RF	70.97	217	23	4	111	316	11	198	3e-95	281	65	65
E0M31_00003733-RA	DB47_00002700-RA	97.42	349	9	0	1	349	1	349	0.0	700	99	99
E0M31_00003738-RA	DB47_00027833-RA	67.10	155	22	1	1	126	1	155	8e-67	200	96	96
E0M31_00003779-RA	DB47_00024336-RB	93.10	29	2	0	134	162	48	76	2e-12	59.3	38	17
